fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_position:position_gt_0_20,0.015369656753011302,159
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_gate:gate_gt_0_75,0.0037252448287134095,1090
0.0,v4.2_candidate_C,ETH_3y_recent,20d,pct_tau_gt_0_25_and_forward_negative,0.1841860465116279,198
0.0,v4.2_candidate_C,ETH_3y_recent,20d,pct_position_gt_0_10_and_forward_negative,0.1469767441860465,158
0.0,v4.2_candidate_C,ETH_3y_recent,20d,pct_gate_gt_0_5_and_forward_negative,0.533953488372093,574
0.0,v4.2_candidate_C,ETH_3y_recent,20d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_tau:tau_le_0,0.006532715102227909,546
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.028901515619945556,61
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.006849881262735867,77
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.013922127234640761,136
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_tau:tau_gt_0_5,0.05167634152919749,255
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_position:position_eq_0,0.008780650574354391,607
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_position:position_0_to_0_05,0.009580596765095659,71
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.015758183352098828,70
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.02362808861765345,168
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_position:position_gt_0_20,0.051980064275624065,159
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_3y_recent,20d,avg_forward_return_conditional_gate:gate_gt_0_75,0.015945445155253948,1075
0.0,v4.2_candidate_C,ETH_5y_full,1d,pct_tau_gt_0_25_and_forward_negative,0.1825657894736842,333
0.0,v4.2_candidate_C,ETH_5y_full,1d,pct_position_gt_0_10_and_forward_negative,0.14638157894736842,267
0.0,v4.2_candidate_C,ETH_5y_full,1d,pct_gate_gt_0_5_and_forward_negative,0.49451754385964913,902
0.0,v4.2_candidate_C,ETH_5y_full,1d,pct_gate_eq_0_and_forward_negative,0.0,0
