diagnostic_type,state_mode,fee_rate,strategy_name,segment_name,segment_start_date,segment_end_date,segment_days,segment_total_return,segment_annualized_return,segment_max_drawdown,segment_sharpe,segment_total_turnover,segment_average_exposure,segment_total_fee_cost,segment_trade_count,segment_average_drawdown,segment_pct_position_gt_0,segment_pct_position_gt_0_05,segment_pct_position_gt_0_10,segment_pct_position_gt_0_20,segment_pct_rho_gt_0_5,segment_trend_persistence_gate_mean,segment_trend_persistence_gate_median,segment_pct_gate_eq_0,segment_pct_gate_gt_0,segment_pct_gate_gt_0_5,segment_base_exposure_C_mean,segment_base_exposure_E_mean,segment_exposure_reduction_from_gate_mean,gross_position_return,net_strategy_return,total_fee_cost,fee_drag,average_position_when_market_return_negative,average_position_when_market_return_positive,total_pnl_from_negative_return_days,total_pnl_from_positive_return_days
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.18877006374443633,0.19256926126394913,0.0,-0.003799197519512798,0.0662284392720644,0.07111904824936253,-0.8168560464887842,1.0056261102332205
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,0.060319043032243336,0.011782846584305284,0.13576499367340533,0.18657127789397238,20.326798920662988,0.05525482954475407,0.0,636.0,0.08972973441637815,0.3304109589041096,0.27616438356164386,0.2263013698630137,0.11287671232876713,0.5002739726027398,0.2692633197801046,0.0,0.6515068493150685,0.34849315068493153,0.2810958904109589,0.19156567744352085,0.1477912473751409,0.04377443006837994,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.07449409654127223,0.060319043032243336,0.0,0.014175053509028895,0.057160755504776416,0.05339226701394133,-1.2754749656908801,1.3499690622321523
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.44490039634304246,-0.25494993211398365,0.7930253453633334,0.10274739407227075,0.0,1.0,0.0,0.0,0.46977675565264493,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.17896882028160732,-0.44490039634304246,0.0,0.6238692166246498,1.0,1.0,-11.730490544480467,11.909459364762077
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19789585757249806,0.062037098862216755,0.6375196811651249,0.41454189990629514,0.0,1.0,0.0,0.0,0.24862694593512766,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.8087408675259184,0.19789585757249806,0.0,0.6108450099534204,1.0,1.0,-12.378189965040455,13.186930832566375
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,-0.33504543778998397,-0.07836619932451394,0.7930253453633334,0.2646495106534417,0.0,1.0,0.0,0.0,0.4489747671795126,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.9877141828764351,-0.33504543778998397,0.0,1.3227596206664192,1.0,1.0,-24.108676014452016,25.09639019732845
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.1085258250785669,-0.055820898917248285,0.5193367154482997,0.08658107045245496,0.5,0.49931506849315066,0.0,1.0,0.2547113348615249,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
