fee_rate,strategy_name,segment_name,drawdown_threshold,episode_start_date,episode_end_date,max_drawdown_in_episode,average_tau_during_episode,average_position_during_episode,average_base_exposure_during_episode,average_unsmoothed_target_during_episode,average_market_risk_multiplier_during_episode,average_portfolio_risk_multiplier_during_episode,days_until_position_halved_from_episode_start,days_until_position_below_0_05_from_episode_start
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2023-02-06,2023-02-06,0.1004865263240271,0.6037204849017495,0.18672328069954072,0.5596894276686105,0.18672328069954072,0.561139083123653,0.6231755262848984,,
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2023-02-09,2023-04-13,0.12102860425677298,0.38272877017204904,0.10636692252742859,0.342551694024388,0.10636692252742859,0.5300124955675667,0.5738827015741135,1.0,1.0
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2023-04-19,2023-12-04,0.14223571474992824,0.013796409685537145,0.0473965616024802,0.14615452281860217,0.04727838386126718,0.6457170735327521,0.5075568964617093,2.0,2.0
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2023-12-06,2023-12-06,0.10554885871099706,0.739917918083134,0.2493512576479203,0.71101990898126,0.2493512576479203,0.5690679310514772,0.604191779833761,,
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2023-12-11,2024-02-13,0.12041085818014396,0.39815228723698926,0.11461693988757016,0.3513743702192787,0.11461693988757016,0.5491255012783344,0.574869718015249,23.0,23.0
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2024-06-11,2024-11-08,0.1136789513162687,-0.23195036172139458,0.009443550890255066,0.02725305162360651,0.009443550890255066,0.5376270861371447,0.597551508090389,0.0,0.0
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2024-11-14,2024-11-17,0.10409103854637192,0.5436227656722172,0.1508438826334097,0.49291418408024135,0.1508438826334097,0.5,0.6142182027551522,,
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2024-11-19,2024-11-20,0.10516890034165016,0.503483571568526,0.13306072332131455,0.44831507952058436,0.13306072332131455,0.5,0.6084919904484873,,
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2025-01-07,2025-05-08,0.1066633654037874,-0.4633960410853101,0.001281211653610073,0.0038591203451666875,0.001281211653610073,0.5004799377216119,0.6004307022992117,0.0,0.0
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2025-06-05,2025-06-06,0.10199799831062717,0.31860570679708333,0.0702811984284433,0.24289522977453704,0.0702811984284433,0.5,0.6198232557342107,,
0.0,v4.2_candidate_C,ETH_5y_full,0.1,2025-06-13,2025-07-09,0.10860432005924536,0.20979284665923453,0.0480916343130632,0.15726910482223383,0.0480916343130632,0.5,0.6067971398964316,7.0,7.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-05-19,2021-07-31,0.0554744049753042,-0.3298036698055859,0.0046186642858642565,0.010616746770414938,0.004686403433171878,0.5,0.7923274103958116,0.0,0.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-08-03,2021-08-03,0.053020746663100304,0.37712403971348923,0.12815617715741182,0.30791559968165466,0.12815617715741182,0.5,0.8011722000133739,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-09-07,2021-09-07,0.05328088948350396,0.4310913129854109,0.2060060496700441,0.3678792366504566,0.13504313849667768,0.5,0.8001966644368601,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-09-09,2021-10-19,0.07076456595892111,0.25567862955500364,0.0956386412736165,0.2441349139516154,0.09550969531333418,0.5,0.7575841355016192,1.0,1.0
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-10-22,2021-10-22,0.05434117932759874,0.6045718276890182,0.2239688977035024,0.5606353640989091,0.2239688977035024,0.5,0.7962205775215048,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-10-27,2021-10-27,0.059870299128529814,0.48037705919199636,0.15497833232266314,0.422641176879996,0.15497833232266314,0.5,0.7754863782680133,,
0.0,v4.2_candidate_D,ETH_extra_early_2y,0.05,2021-11-16,2023-05-17,0.13084034300447434,-0.06907952624799414,0.04794358407724542,0.14165188175407295,0.04786096057126175,0.5126153288649414,0.6203455966607438,2.0,2.0
